,0,1
0,"(186, 0.65999999999999992, -1.0)","(-2368.4499510000001, 3)"
1,"(186, 0.65999999999999992, -0.92000000000000004)","(-2368.4499510000001, 3)"
2,"(186, 0.57999999999999996, -0.84000000000000008)","(-2368.4499510000001, 3)"
3,"(186, 0.5, -1.0)","(-2368.4499510000001, 3)"
4,"(186, 0.65999999999999992, -0.76000000000000012)","(-2368.4499510000001, 3)"
5,"(186, 0.57999999999999996, -0.92000000000000004)","(-2368.4499510000001, 3)"
6,"(186, 0.65999999999999992, -0.84000000000000008)","(-2368.4499510000001, 3)"
7,"(186, 0.5, -0.92000000000000004)","(-2368.4499510000001, 3)"
8,"(186, 0.57999999999999996, -0.76000000000000012)","(-2368.4499510000001, 3)"
9,"(186, 0.5, -0.84000000000000008)","(-2368.4499510000001, 3)"
10,"(186, 0.57999999999999996, -1.0)","(-2368.4499510000001, 3)"
11,"(186, 0.5, -0.76000000000000012)","(-2368.4499510000001, 3)"
12,"(178, 0.81999999999999984, -1.0)","(-2354.270019, 3)"
13,"(178, 0.65999999999999992, -1.0)","(-2354.270019, 3)"
14,"(178, 0.5, -1.0)","(-2354.270019, 3)"
15,"(178, 0.8999999999999998, -0.92000000000000004)","(-2354.270019, 3)"
16,"(178, 0.57999999999999996, -1.0)","(-2354.270019, 3)"
17,"(178, 0.73999999999999988, -0.92000000000000004)","(-2354.270019, 3)"
18,"(178, 0.73999999999999988, -1.0)","(-2354.270019, 3)"
19,"(178, 0.57999999999999996, -0.92000000000000004)","(-2354.270019, 3)"
20,"(178, 0.8999999999999998, -1.0)","(-2354.270019, 3)"
21,"(178, 0.5, -0.92000000000000004)","(-2354.270019, 3)"
22,"(178, 0.65999999999999992, -0.92000000000000004)","(-2354.270019, 3)"
23,"(178, 0.81999999999999984, -0.92000000000000004)","(-2354.270019, 3)"
24,"(186, 0.73999999999999988, -0.84000000000000008)","(-2353.540039, 3)"
25,"(186, 0.73999999999999988, -0.76000000000000012)","(-2353.540039, 3)"
26,"(186, 0.81999999999999984, -0.84000000000000008)","(-2353.540039, 3)"
27,"(186, 0.73999999999999988, -0.92000000000000004)","(-2353.540039, 3)"
28,"(186, 0.81999999999999984, -1.0)","(-2353.540039, 3)"
29,"(186, 0.81999999999999984, -0.92000000000000004)","(-2353.540039, 3)"
30,"(186, 0.73999999999999988, -1.0)","(-2353.540039, 3)"
31,"(186, 0.81999999999999984, -0.76000000000000012)","(-2353.540039, 3)"
32,"(186, 0.8999999999999998, -0.84000000000000008)","(-2351.540039, 3)"
33,"(186, 0.8999999999999998, -1.0)","(-2351.540039, 3)"
34,"(186, 0.8999999999999998, -0.76000000000000012)","(-2351.540039, 3)"
35,"(186, 0.8999999999999998, -0.92000000000000004)","(-2351.540039, 3)"
36,"(178, 0.97999999999999976, -0.92000000000000004)","(-2343.119995, 3)"
37,"(178, 0.97999999999999976, -1.0)","(-2343.119995, 3)"
38,"(186, 0.97999999999999976, -0.92000000000000004)","(-2334.910034, 3)"
39,"(186, 1.0599999999999996, -0.76000000000000012)","(-2334.910034, 3)"
40,"(178, 1.0599999999999996, -0.92000000000000004)","(-2334.910034, 3)"
41,"(186, 1.0599999999999996, -1.0)","(-2334.910034, 3)"
42,"(186, 0.97999999999999976, -0.84000000000000008)","(-2334.910034, 3)"
43,"(186, 1.0599999999999996, -0.84000000000000008)","(-2334.910034, 3)"
44,"(186, 1.0599999999999996, -0.92000000000000004)","(-2334.910034, 3)"
45,"(186, 0.97999999999999976, -0.76000000000000012)","(-2334.910034, 3)"
46,"(186, 0.97999999999999976, -1.0)","(-2334.910034, 3)"
47,"(178, 1.0599999999999996, -1.0)","(-2334.910034, 3)"
48,"(194, 0.57999999999999996, -0.92000000000000004)","(-2322.630005, 3)"
49,"(178, 1.1399999999999997, -0.92000000000000004)","(-2322.630005, 3)"
50,"(194, 1.1399999999999997, -0.84000000000000008)","(-2322.630005, 3)"
51,"(194, 1.0599999999999996, -0.92000000000000004)","(-2322.630005, 3)"
52,"(194, 1.1399999999999997, -1.0)","(-2322.630005, 3)"
53,"(186, 1.2199999999999998, -0.76000000000000012)","(-2322.630005, 3)"
54,"(194, 0.81999999999999984, -0.84000000000000008)","(-2322.630005, 3)"
55,"(194, 0.8999999999999998, -1.0)","(-2322.630005, 3)"
56,"(194, 0.81999999999999984, -0.92000000000000004)","(-2322.630005, 3)"
57,"(186, 1.1399999999999997, -0.84000000000000008)","(-2322.630005, 3)"
58,"(186, 1.2199999999999998, -0.92000000000000004)","(-2322.630005, 3)"
59,"(194, 0.73999999999999988, -0.92000000000000004)","(-2322.630005, 3)"
60,"(194, 0.97999999999999976, -0.92000000000000004)","(-2322.630005, 3)"
61,"(194, 0.65999999999999992, -1.0)","(-2322.630005, 3)"
62,"(194, 0.57999999999999996, -1.0)","(-2322.630005, 3)"
63,"(194, 0.5, -0.84000000000000008)","(-2322.630005, 3)"
64,"(186, 1.2199999999999998, -0.84000000000000008)","(-2322.630005, 3)"
65,"(194, 0.73999999999999988, -0.84000000000000008)","(-2322.630005, 3)"
66,"(186, 1.1399999999999997, -1.0)","(-2322.630005, 3)"
67,"(194, 0.5, -1.0)","(-2322.630005, 3)"
68,"(194, 1.2199999999999998, -0.84000000000000008)","(-2322.630005, 3)"
69,"(194, 1.1399999999999997, -0.92000000000000004)","(-2322.630005, 3)"
70,"(194, 1.2199999999999998, -0.92000000000000004)","(-2322.630005, 3)"
71,"(194, 1.0599999999999996, -0.84000000000000008)","(-2322.630005, 3)"
72,"(194, 0.97999999999999976, -1.0)","(-2322.630005, 3)"
73,"(194, 1.2199999999999998, -1.0)","(-2322.630005, 3)"
74,"(194, 0.8999999999999998, -0.84000000000000008)","(-2322.630005, 3)"
75,"(178, 1.1399999999999997, -1.0)","(-2322.630005, 3)"
76,"(178, 1.2199999999999998, -1.0)","(-2322.630005, 3)"
77,"(194, 0.8999999999999998, -0.92000000000000004)","(-2322.630005, 3)"
78,"(194, 0.81999999999999984, -1.0)","(-2322.630005, 3)"
79,"(186, 1.2199999999999998, -1.0)","(-2322.630005, 3)"
80,"(178, 1.2199999999999998, -0.92000000000000004)","(-2322.630005, 3)"
81,"(194, 0.65999999999999992, -0.92000000000000004)","(-2322.630005, 3)"
82,"(194, 1.0599999999999996, -1.0)","(-2322.630005, 3)"
83,"(194, 0.97999999999999976, -0.84000000000000008)","(-2322.630005, 3)"
84,"(194, 0.65999999999999992, -0.84000000000000008)","(-2322.630005, 3)"
85,"(186, 1.1399999999999997, -0.76000000000000012)","(-2322.630005, 3)"
86,"(194, 0.5, -0.92000000000000004)","(-2322.630005, 3)"
87,"(194, 0.57999999999999996, -0.84000000000000008)","(-2322.630005, 3)"
88,"(186, 1.1399999999999997, -0.92000000000000004)","(-2322.630005, 3)"
89,"(194, 0.73999999999999988, -1.0)","(-2322.630005, 3)"
90,"(178, 1.2999999999999996, -1.0)","(-2317.48999, 3)"
91,"(194, 1.2999999999999996, -1.0)","(-2317.48999, 3)"
92,"(178, 1.2999999999999996, -0.92000000000000004)","(-2317.48999, 3)"
93,"(186, 1.2999999999999996, -0.92000000000000004)","(-2317.48999, 3)"
94,"(194, 1.2999999999999996, -0.84000000000000008)","(-2317.48999, 3)"
95,"(186, 1.2999999999999996, -1.0)","(-2317.48999, 3)"
96,"(186, 1.2999999999999996, -0.84000000000000008)","(-2317.48999, 3)"
97,"(186, 1.2999999999999996, -0.76000000000000012)","(-2317.48999, 3)"
98,"(194, 1.2999999999999996, -0.92000000000000004)","(-2317.48999, 3)"
99,"(210, 1.1399999999999997, -0.92000000000000004)","(-2311.619995, 3)"
100,"(210, 0.5, -0.92000000000000004)","(-2311.619995, 3)"
101,"(210, 1.1399999999999997, -0.84000000000000008)","(-2311.619995, 3)"
102,"(210, 0.57999999999999996, -0.92000000000000004)","(-2311.619995, 3)"
103,"(210, 0.97999999999999976, -0.92000000000000004)","(-2311.619995, 3)"
104,"(210, 0.65999999999999992, -0.92000000000000004)","(-2311.619995, 3)"
105,"(210, 1.2199999999999998, -0.84000000000000008)","(-2311.619995, 3)"
106,"(210, 0.65999999999999992, -0.84000000000000008)","(-2311.619995, 3)"
107,"(210, 0.57999999999999996, -0.84000000000000008)","(-2311.619995, 3)"
108,"(210, 1.0599999999999996, -0.92000000000000004)","(-2311.619995, 3)"
109,"(210, 0.8999999999999998, -0.84000000000000008)","(-2311.619995, 3)"
110,"(210, 0.81999999999999984, -0.92000000000000004)","(-2311.619995, 3)"
111,"(210, 1.0599999999999996, -0.84000000000000008)","(-2311.619995, 3)"
112,"(210, 1.2199999999999998, -0.92000000000000004)","(-2311.619995, 3)"
113,"(210, 0.81999999999999984, -0.84000000000000008)","(-2311.619995, 3)"
114,"(210, 0.73999999999999988, -0.92000000000000004)","(-2311.619995, 3)"
115,"(210, 0.5, -0.84000000000000008)","(-2311.619995, 3)"
116,"(210, 0.73999999999999988, -0.84000000000000008)","(-2311.619995, 3)"
117,"(210, 0.97999999999999976, -0.84000000000000008)","(-2311.619995, 3)"
118,"(210, 0.8999999999999998, -0.92000000000000004)","(-2311.619995, 3)"
119,"(186, 1.3799999999999994, -1.0)","(-2309.0200189999996, 3)"
120,"(194, 1.3799999999999994, -0.92000000000000004)","(-2309.0200189999996, 3)"
121,"(178, 1.3799999999999994, -1.0)","(-2309.0200189999996, 3)"
122,"(186, 1.3799999999999994, -0.84000000000000008)","(-2309.0200189999996, 3)"
123,"(178, 1.3799999999999994, -0.92000000000000004)","(-2309.0200189999996, 3)"
124,"(186, 1.3799999999999994, -0.76000000000000012)","(-2309.0200189999996, 3)"
125,"(194, 1.3799999999999994, -0.84000000000000008)","(-2309.0200189999996, 3)"
126,"(186, 1.3799999999999994, -0.92000000000000004)","(-2309.0200189999996, 3)"
127,"(194, 1.3799999999999994, -1.0)","(-2309.0200189999996, 3)"
128,"(210, 1.2999999999999996, -0.84000000000000008)","(-2303.420044, 3)"
129,"(210, 1.2999999999999996, -0.92000000000000004)","(-2303.420044, 3)"
130,"(186, 1.4599999999999995, -1.0)","(-2301.8599850000001, 3)"
131,"(194, 1.4599999999999995, -0.92000000000000004)","(-2301.8599850000001, 3)"
132,"(178, 1.4599999999999995, -0.92000000000000004)","(-2301.8599850000001, 3)"
133,"(178, 1.4599999999999995, -1.0)","(-2301.8599850000001, 3)"
134,"(194, 1.4599999999999995, -1.0)","(-2301.8599850000001, 3)"
135,"(194, 1.4599999999999995, -0.84000000000000008)","(-2301.8599850000001, 3)"
136,"(186, 1.4599999999999995, -0.84000000000000008)","(-2301.8599850000001, 3)"
137,"(186, 1.4599999999999995, -0.92000000000000004)","(-2301.8599850000001, 3)"
138,"(186, 1.4599999999999995, -0.76000000000000012)","(-2301.8599850000001, 3)"
139,"(210, 1.3799999999999994, -0.84000000000000008)","(-2296.4799800000001, 3)"
140,"(210, 1.3799999999999994, -0.92000000000000004)","(-2296.4799800000001, 3)"
141,"(210, 1.5399999999999996, -0.92000000000000004)","(-2285.079956, 3)"
142,"(210, 1.4599999999999995, -0.92000000000000004)","(-2285.079956, 3)"
143,"(210, 1.4599999999999995, -0.84000000000000008)","(-2285.079956, 3)"
144,"(210, 1.5399999999999996, -0.84000000000000008)","(-2285.079956, 3)"
145,"(202, 0.5, -0.84000000000000008)","(-2284.280029, 3)"
146,"(202, 1.6199999999999994, -1.0)","(-2284.280029, 3)"
147,"(202, 0.57999999999999996, -1.0)","(-2284.280029, 3)"
148,"(202, 0.8999999999999998, -1.0)","(-2284.280029, 3)"
149,"(202, 1.1399999999999997, -1.0)","(-2284.280029, 3)"
150,"(202, 1.2199999999999998, -0.92000000000000004)","(-2284.280029, 3)"
151,"(202, 0.57999999999999996, -0.92000000000000004)","(-2284.280029, 3)"
152,"(202, 0.97999999999999976, -0.84000000000000008)","(-2284.280029, 3)"
153,"(202, 1.6199999999999994, -0.92000000000000004)","(-2284.280029, 3)"
154,"(202, 0.5, -0.92000000000000004)","(-2284.280029, 3)"
155,"(202, 1.4599999999999995, -0.92000000000000004)","(-2284.280029, 3)"
156,"(202, 1.5399999999999996, -0.92000000000000004)","(-2284.280029, 3)"
157,"(202, 0.97999999999999976, -1.0)","(-2284.280029, 3)"
158,"(202, 0.65999999999999992, -1.0)","(-2284.280029, 3)"
159,"(202, 1.5399999999999996, -0.84000000000000008)","(-2284.280029, 3)"
160,"(202, 1.6199999999999994, -0.84000000000000008)","(-2284.280029, 3)"
161,"(202, 1.4599999999999995, -0.84000000000000008)","(-2284.280029, 3)"
162,"(202, 1.2999999999999996, -1.0)","(-2284.280029, 3)"
163,"(202, 0.65999999999999992, -0.84000000000000008)","(-2284.280029, 3)"
164,"(202, 1.2999999999999996, -0.84000000000000008)","(-2284.280029, 3)"
165,"(202, 1.0599999999999996, -0.84000000000000008)","(-2284.280029, 3)"
166,"(202, 0.8999999999999998, -0.92000000000000004)","(-2284.280029, 3)"
167,"(202, 0.5, -1.0)","(-2284.280029, 3)"
168,"(202, 1.6999999999999993, -0.84000000000000008)","(-2284.280029, 3)"
169,"(202, 1.3799999999999994, -1.0)","(-2284.280029, 3)"
170,"(202, 1.0599999999999996, -0.92000000000000004)","(-2284.280029, 3)"
171,"(202, 0.8999999999999998, -0.84000000000000008)","(-2284.280029, 3)"
172,"(202, 1.2999999999999996, -0.92000000000000004)","(-2284.280029, 3)"
173,"(202, 0.97999999999999976, -0.92000000000000004)","(-2284.280029, 3)"
174,"(202, 1.2199999999999998, -1.0)","(-2284.280029, 3)"
175,"(202, 1.4599999999999995, -1.0)","(-2284.280029, 3)"
176,"(202, 0.81999999999999984, -1.0)","(-2284.280029, 3)"
177,"(202, 1.3799999999999994, -0.84000000000000008)","(-2284.280029, 3)"
178,"(202, 0.81999999999999984, -0.92000000000000004)","(-2284.280029, 3)"
179,"(202, 1.0599999999999996, -1.0)","(-2284.280029, 3)"
180,"(202, 0.73999999999999988, -0.92000000000000004)","(-2284.280029, 3)"
181,"(202, 1.2199999999999998, -0.84000000000000008)","(-2284.280029, 3)"
182,"(202, 1.1399999999999997, -0.84000000000000008)","(-2284.280029, 3)"
183,"(202, 1.1399999999999997, -0.92000000000000004)","(-2284.280029, 3)"
184,"(202, 0.65999999999999992, -0.92000000000000004)","(-2284.280029, 3)"
185,"(202, 0.73999999999999988, -0.84000000000000008)","(-2284.280029, 3)"
186,"(202, 1.5399999999999996, -1.0)","(-2284.280029, 3)"
187,"(202, 1.3799999999999994, -0.92000000000000004)","(-2284.280029, 3)"
188,"(202, 0.73999999999999988, -1.0)","(-2284.280029, 3)"
189,"(202, 1.6999999999999993, -1.0)","(-2284.280029, 3)"
190,"(202, 0.57999999999999996, -0.84000000000000008)","(-2284.280029, 3)"
191,"(202, 1.6999999999999993, -0.92000000000000004)","(-2284.280029, 3)"
192,"(202, 0.81999999999999984, -0.84000000000000008)","(-2284.280029, 3)"
193,"(186, 1.6999999999999993, -0.92000000000000004)","(-2281.0999750000001, 3)"
194,"(186, 1.5399999999999996, -0.76000000000000012)","(-2281.0999750000001, 3)"
195,"(194, 1.7799999999999994, -0.92000000000000004)","(-2281.0999750000001, 3)"
196,"(186, 1.6199999999999994, -1.0)","(-2281.0999750000001, 3)"
197,"(178, 1.5399999999999996, -1.0)","(-2281.0999750000001, 3)"
198,"(186, 1.6199999999999994, -0.76000000000000012)","(-2281.0999750000001, 3)"
199,"(178, 1.5399999999999996, -0.92000000000000004)","(-2281.0999750000001, 3)"
200,"(178, 1.7799999999999994, -0.92000000000000004)","(-2281.0999750000001, 3)"
201,"(186, 1.7799999999999994, -0.84000000000000008)","(-2281.0999750000001, 3)"
